Cote;ISBD;Note1;;Note2;Indexation 600;Indexation 606;;;
*C1998 - GRA*;"Graphistes néerlandais [enregistrement sonore] : Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence sur le graphisme aux Pays-Bas donnée dans le cadre du Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. Le terme Iconotextes, proposé par Michael Nerlich en 1988, désigne l'ensemble des énoncés scripto-visuels dont les composantes scripturales et iconique sont imbriquées au point de se livrer au lecteur-regardeur comme une totalité indivis. Ces objets langagiers hybrides prolifèrent tout au long du XXe siècle tant dans le champ proprement littéraire et artistique que, avec une égale invention, dans celui de la communication (typographies, presse, publicité) quand, à l'exemple de la bande dessinée, ils ne travaillent à brouiller des frontières aussi incertaines. Le propos de ce cycle de conférences consiste donc à réfléchir à nouveau sur les rapports interactifs de l'écrit et du visuel, mécanismes aussi complexes que pluriels faits d'articulations dynamiques, de confrontations et de contiguités, de glissements et d'hybridation, mais encore de différences irréductibles et de béance. Cette réflexion privilégiera d'une part l'importance que revêt, sous des modalités infiniment variées, le texte ou l'écriture dans nombre d'?uvres plastiques jusqu'à participer à l'économie sémantique de l'image. D'autre part, elle s'attardera, notamment dans le champ de la création graphique et typographique, sur la dimension plastique que conquiert la lettre et le texte lorsque l'écriture est en quête de visualité, revendique le droit à la forme et la pertinence de sa dimension graphique. A l'encontre d'une simple mise en forme ou charge décorative, celle-ci investit la réalité physique et sémantique du message. Il s'agrira donc de rappeler encore cette évidence trop ténue selon laquelle graphisme et typographie sont à la lettre, investit d'une culture qu'ils contribuent fortement à constituer. (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Arts graphiques;;;
*C1998 - GRU*;"Consommateur de ville, citoyen du yoghourt [enregistrement sonore] : Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle / Jean-Pierre Grunfeld. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Jean-Pierre Grunfeld donnée dans le cadre du Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. Le terme Iconotextes, proposé par Michael Nerlich en 1988, désigne l'ensemble des énoncés scripto-visuels dont les composantes scripturales et iconique sont imbriquées au point de se livrer au lecteur-regardeur comme une totalité indivis. Ces objets langagiers hybrides prolifèrent tout au long du XXe siècle tant dans le champ proprement littéraire et artistique que, avec une égale invention, dans celui de la communication (typographies, presse, publicité) quand, à l'exemple de la bande dessinée, ils ne travaillent à brouiller des frontières aussi incertaines. Le propos de ce cycle de conférences consiste donc à réfléchir à nouveau sur les rapports interactifs de l'écrit et du visuel, mécanismes aussi complexes que pluriels faits d'articulations dynamiques, de confrontations et de contiguités, de glissements et d'hybridation, mais encore de différences irréductibles et de béance. Cette réflexion privilégiera d'une part l'importance que revêt, sous des modalités infiniment variées, le texte ou l'écriture dans nombre d'?uvres plastiques jusqu'à participer à l'économie sémantique de l'image. D'autre part, elle s'attardera, notamment dans le champ de la création graphique et typographique, sur la dimension plastique que conquiert la lettre et le texte lorsque l'écriture est en quête de visualité, revendique le droit à la forme et la pertinence de sa dimension graphique. A l'encontre d'une simple mise en forme ou charge décorative, celle-ci investit la réalité physique et sémantique du message. Il s'agrira donc de rappeler encore cette évidence trop ténue selon laquelle graphisme et typographie sont à la lettre, investit d'une culture qu'ils contribuent fortement à constituer. (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Arts graphiques;;;
*C1998 - REC*;Art moderne et art contemporain à l'épreuve du musée [enregistrement sonore] / Roland Recht. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;Conférence de Roland Recht donnée le 21 janvier 1998 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Fin 1996, le président du Centre Pompidou a chargé Roland Recht d'une mission de réflexion et de proposition relative à l'avenir du Musée National d'art moderne. Il propose de nous faire part de ce travail et des conclusions essentielles qu'il lui a inspiré. (Source: Rapport d'activité 1998);;Fichier numérisé disponible.;;Centre national d'art et de culture Georges Pompidou (Paris);;;
*C1998-BAL1*;"[Conférence] [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Lewis Baltz. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio";"Conférence de Lewis Baltz donnée le 2 décembre 1998 dans le cadre du Cycle de conférences ""Art et nature"". ""Lewis Baltz présentera ses travaux récents à Leipzig et Groningen notamment. Dans cette région, ""Le Triangle Noir"", dévastée par l'exploitation industrielle, à ciel ouvert, anarchique, sur une région entière réduisant ""en l'espace d'une vie d'homme, la Bohême arcadienne du peintre Caspar David Friedrich à un jardin de cendres et de poussières"", a été mis en place un programme de réhabilitation du territoire culturel, c'est-à-dire modifié par l'homme, de la région. La réhabilitation de cette région a été confiée aux artistes et architectes. Lewis Baltz adopte une attitude extrêmement critique par rapport aux interventions artistiques proposées ""qu'il considère comme tacitement complices d'une dévastation rampante"" ou du moins responsables d'une esthétisation de la destruction."" (Source: Rapport d'activité 1998)";;;Baltz;Nature;;;
*C1998-BAL2*;"[Conférence] [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Lewis Baltz. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio";"Conférence de Lewis Baltz donnée le 2 décembre 1998 dans le cadre du Cycle de conférences ""Art et nature"". ""Lewis Baltz présentera ses travaux récents à Leipzig et Groningen notamment. Dans cette région, ""Le Triangle Noir"", dévastée par l'exploitation industrielle, à ciel ouvert, anarchique, sur une région entière réduisant ""en l'espace d'une vie d'homme, la Bohême arcadienne du peintre Caspar David Friedrich à un jardin de cendres et de poussières"", a été mis en place un programme de réhabilitation du territoire culturel, c'est-à-dire modifié par l'homme, de la région. La réhabilitation de cette région a été confiée aux artistes et architectes. Lewis Baltz adopte une attitude extrêmement critique par rapport aux interventions artistiques proposées ""qu'il considère comme tacitement complices d'une dévastation rampante"" ou du moins responsables d'une esthétisation de la destruction."" (Source: Rapport d'activité 1998)";;;Baltz;Nature;;;
*C1998-BAU1*;[Conférence] [enregistrement sonore] / Ruedi Baur. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio;Conférence donnée le 24 mars 1998 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Ruedi Baur. (Source : Rapport d'activité 1998);;Fichier numérisé disponible.;;;;;
*C1998-BAU2*;[Conférence] [enregistrement sonore] / Ruedi Baur. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio;Conférence donnée le 24 mars 1998 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Ruedi Baur. (Source : Rapport d'activité 1998);;Fichier numérisé disponible.;;;;;
*C1998-BES*;La Phrygane merveilleuse de Hubert Duprat [enregistrement sonore] / Christian Besson. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;"Conférence donnée le 28 octobre 1998 (date originale sur la cassette: 27/10/1998) à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Essai d'interprétation d'un palimpseste scientifico-artistique à partir de la théorie de l'information. En première partie: projection d'un film de 20 minutes où l'on peut voir la Phrygane, travaillant in vitro à la construction de son étui, à partir des matériaux fournis par l'artiste (paillettes d'or, perles, rubis, opales,...)."" (Source : Rapport d'activité 1997)";;Fichier numérisé disponible.;Duprat;Insectes dans l'art;;;
*C1998-CAD*;"Lecture [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Olivier Cadiot. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Olivier Cadiot donnée le 4 novembre 1998 dans le cadre du Cycle de conférences ""Art et nature"". ""Ecrivain, Olivier Cadiot a réalisé avec Pierre Alfieri les deux numéros, à tous égards uniques, de la belle et forte ""Revue de littérature générale"", parus en 1996 et 1997. Il est l'auteur de fictions particulièrement toniques et décapantes (...). C'est aussi un formidable lecteur de ses propres textes."" (Source: Rapport d'activité 1998)";;;Cadiot;Nature;;;
*C1998-CLE*;Art et paysage: le jardin ou le partage de la signature [enregistrement sonore] / Gilles Clément. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;"Conférence de Gilles Clément le 9 décembre 1998. ""Gilles Clément est le paysagiste français dont la sensibilité et la réflexion ont aujourd'hui le plus d'influence. Aux diverses traditions de l'art du jardin, il a su associer la prise en compte, et potentiels mécomptes, des dynamiques naturelles de croissance, de dégradation, de réaction aussi aux activités humaines. C'est ce qu'il appelle ""le jardin en mouvement"". Autrement dit concevoir un espace humanisé dans le temps de la nature, et réciproquement. Outre le parc André Citroën à Paris, Gilles Clément a créé, initié de nombreux jardins, tant en France que sur les cinq continents."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Clément;Architecture des jardins;;;
*C1998-DEM*;"Espace livre ou multimédia [enregistrement sonore] : Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle / Jacques Demarcq. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Jacques Demarcq le 4 février 1998 donnée dans le cadre du Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. Le terme Iconotextes, proposé par Michael Nerlich en 1988, désigne l'ensemble des énoncés scripto-visuels dont les composantes scripturales et iconique sont imbriquées au point de se livrer au lecteur-regardeur comme une totalité indivis. Ces objets langagiers hybrides prolifèrent tout au long du XXe siècle tant dans le champ proprement littéraire et artistique que, avec une égale invention, dans celui de la communication (typographies, presse, publicité) quand, à l'exemple de la bande dessinée, ils ne travaillent à brouiller des frontières aussi incertaines. Le propos de ce cycle de conférences consiste donc à réfléchir à nouveau sur les rapports interactifs de l'écrit et du visuel, mécanismes aussi complexes que pluriels faits d'articulations dynamiques, de confrontations et de contiguités, de glissements et d'hybridation, mais encore de différences irréductibles et de béance. Cette réflexion privilégiera d'une part l'importance que revêt, sous des modalités infiniment variées, le texte ou l'écriture dans nombre d'?uvres plastiques jusqu'à participer à l'économie sémantique de l'image. D'autre part, elle s'attardera, notamment dans le champ de la création graphique et typographique, sur la dimension plastique que conquiert la lettre et le texte lorsque l'écriture est en quête de visualité, revendique le droit à la forme et la pertinence de sa dimension graphique. A l'encontre d'une simple mise en forme ou charge décorative, celle-ci investit la réalité physique et sémantique du message. Il s'agrira donc de rappeler encore cette évidence trop ténue selon laquelle graphisme et typographie sont à la lettre, investit d'une culture qu'ils contribuent fortement à constituer. (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;;;;
*C1998-FOU*;Le sujet monotype [enregistrement sonore] / Dominique Fourcade. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;"Conférence de Dominique Fourcade le 4 mai 1998 à l'Ecole des Arts Décoratifs de Strasbourg. Le poète lira de son dernier livre. ""La scène se passe je ne sais où, vraiment on ne peut savoir où, j'écris vissé à une table elle-même vissée à l'espace. Je me dévêts et la table se dénude et la terre se fait nue et l'espace est nu."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;;;;
*C1998-GAR*;"Autour de quelques ""idées de nature"" dans l'art contemporain. [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Colette Garaud. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Colette Garaud donnée le 21 octobre 1998 dans le cadre du Cycle de conférences ""Art et nature"". ""Sans doute n'y a-t-il jamais eu de ""nature"", mais seulement une ""idée"", ou plutôt des ""idées de nature"": l'étude des nouvelles relations qui se sont instaurées entre les artistes et l'environnement, à la faveur, entre autres, du mouvement de sortie des ateliers à la fin des années soixante, montre surtout une extrême diversité dans la façon dont les artistes ont pensé la nature. Ayant publié, il y a cinq ans, un ouvrage sur le sujet, l'auteur souhaite, après en avoir rappelé le contenu dans ses grandes lignes, faire un retour critique sur ce travail, indiquer les directions qu'elle estime avoir insuffisamment explorées, et tenter de comprendre comment aujourd'hui, une trentaine d'années après les grandes ?uvres du land art et les premières interventions sur des sites naturels ou semi-naturels, les artistes renouvellent les questions traditionnelles du paysage et du jardin, explorent l'idée du mimésis ou de tératologie à travers le règne animal et végétal, se souviennent des anciens cabinets de curiosités, ou encore développent des rapports paradoxaux et féconds entre nature et technologie."" (Source: Rapport d'activité 1998)";;;;Nature;;;
*C1998-GOU*;"Quand la photographie donne à voir l'?uvre: le rôle de l'artiste [enregistrement sonore] : Cycle de conférences du Colloque ""Ir-reproductibilités"" / Véronique Goudinoux. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Véronique Goudinoux le 3 novembre 1998 donnée dans le cadre du colloque ""Ir-reproductibilités"". (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Photographie d'oeuvres d'art;;;
*C1998-GRO*;"Ecouter le paysage [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Catherine Grout. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Catherine Grout donnée dans le cadre du Cycle de conférences ""Art et nature"". ""Si notre relation occidentale à la réalité est dominée par la vision, dans une approche phénoménologique du monde, l'écoute a une importance indéniable. Quelques artistes contemporains explorent les sons, et cela dans une gamme très large d'intervention: de la musique aux bruits, de l'apport de sons artificiels à l'interprétation de sons naturels. Parfois, ils préfèrent non pas produire du son, mais nous permettre d'écouter ceux qui sont déjà là. L'accent sera mis dans cette conférence sur les ?uvres conçues pour être en extérieur, car leur expérience peut donner accès au paysage de manière privilégiée et parfois même inattendue."" (Source: Rapport d'activité 1998)";;;;Nature;;;
*C1998-KRA1*;"[Conférence] [enregistrement sonore] : Cycle de conférences ""Cinémas"" coordonné par Thomas Soriano / Robert Kramer. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio";"Conférence de Robert Kramer le 13 mai 1998 donnée dans le cadre du Cycle de conférences ""Cinémas"". ""Le réalisateur présente ""Le Manteau"", 1996 - ""Ghost of electricity"", 1997 et ""Say Kom SA"", 1997 (sous réserve) Reconnu comme réalisateur de première importance en Amérique par Jonas Mekas et en Europe par les cercles du ""nouveau cinéma"", Kramer parcourt depuis le début un domaine de découverte aussi éloigné d'Hollywood que du cinéma underground expérimental. En trente années d'indépendance totale, il a fait du cinéma un instrument de découverte, il l'a utilisé pour réfléchir à l'expérience personnelle et collective. Ses films sont à la fois secrètement autobiographiques et notoirement ouverts sur le monde. En mêlant le documentaire et la fiction (distinction qui ne fait plus réellement sens ici), il a inventé une forme artistique de plus en plus originale, libre et malléable (...)"" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Kramer;;;;
*C1998-KRA2*;"[Conférence] [enregistrement sonore] : Cycle de conférences ""Cinémas"" coordonné par Thomas Soriano / Robert Kramer. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 2 cassettes audio";"Conférence de Robert Kramer le 13 mai 1998 donnée dans le cadre du Cycle de conférences ""Cinémas"". ""Le réalisateur présente ""Le Manteau"", 1996 - ""Ghost of electricity"", 1997 et ""Say Kom SA"", 1997 (sous réserve) Reconnu comme réalisateur de première importance en Amérique par Jonas Mekas et en Europe par les cercles du ""nouveau cinéma"", Kramer parcourt depuis le début un domaine de découverte aussi éloigné d'Hollywood que du cinéma underground expérimental. En trente années d'indépendance totale, il a fait du cinéma un instrument de découverte, il l'a utilisé pour réfléchir à l'expérience personnelle et collective. Ses films sont à la fois secrètement autobiographiques et notoirement ouverts sur le monde. En mêlant le documentaire et la fiction (distinction qui ne fait plus réellement sens ici), il a inventé une forme artistique de plus en plus originale, libre et malléable (...)"" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Kramer;;;;
*C1998-LEC*;Du lisible au visible. Les solutions de l'avant-garde russe (futurisme et constructivisme) [enregistrement sonore] / Claude Leclanché-Boulé. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;"Conférence de Claude Leclanché-Boulé le 18 mars 1998. ""On a coutume de distinguer dans la révolution typographique en Russie deux étapes articulées autour de la coupure historique de 1917. L'étape futuriste, qui associe poètes et peintres, est généralement considérée comme une période de déconstruction et l'étape constructiviste comme une période de construction dans laquelle la nouvelle typographie, entièrement prise en charge par des plasticiens, s'applique sans distinction à l'ensemble de la production imprimée, avec une prédilection pour la propagande et la publicité. Une approche sémiologique permet au contraire de montrer que l'évolution du projet typographique s'est faite en fonction d'une logique interne, visuelle et picturale, et non pas en fonction d'un projet politique ou social."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Futurisme (art);;;
*C1998-ROQ*;"Les objets, les images et les mots chez Magritte [enregistrement sonore] : Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle / Georges Roque. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Georges Roque le 11 mars 1998 donnée dans le cadre du Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. Le terme Iconotextes, proposé par Michael Nerlich en 1988, désigne l'ensemble des énoncés scripto-visuels dont les composantes scripturales et iconique sont imbriquées au point de se livrer au lecteur-regardeur comme une totalité indivis. Ces objets langagiers hybrides prolifèrent tout au long du XXe siècle tant dans le champ proprement littéraire et artistique que, avec une égale invention, dans celui de la communication (typographies, presse, publicité) quand, à l'exemple de la bande dessinée, ils ne travaillent à brouiller des frontières aussi incertaines. Le propos de ce cycle de conférences consiste donc à réfléchir à nouveau sur les rapports interactifs de l'écrit et du visuel, mécanismes aussi complexes que pluriels faits d'articulations dynamiques, de confrontations et de contiguités, de glissements et d'hybridation, mais encore de différences irréductibles et de béance. Cette réflexion privilégiera d'une part l'importance que revêt, sous des modalités infiniment variées, le texte ou l'écriture dans nombre d'?uvres plastiques jusqu'à participer à l'économie sémantique de l'image. D'autre part, elle s'attardera, notamment dans le champ de la création graphique et typographique, sur la dimension plastique que conquiert la lettre et le texte lorsque l'écriture est en quête de visualité, revendique le droit à la forme et la pertinence de sa dimension graphique. A l'encontre d'une simple mise en forme ou charge décorative, celle-ci investit la réalité physique et sémantique du message. Il s'agrira donc de rappeler encore cette évidence trop ténue selon laquelle graphisme et typographie sont à la lettre, investit d'une culture qu'ils contribuent fortement à constituer. (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Magritte;;;;
*C1998-ROQ*;Théorie et pratique de la couleur: l'apport de Chevreul [enregistrement sonore] / Georges Roque. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio;"Conférence de Georges Roque le 12 mars 1998. ""Encore trop mal connu, Michel-Eugène Chevreul (1786-1889) a pourtant joué un rôle central dans la théorie des couleurs, par sa découverte de la loi du contraste simultané des couleurs, loi qui concerne l'influence qu'exercent deux couleurs l'une sur l'autre lorsqu'elles sont juxtaposées. En reprenant certains axes de mon dernier livre (Art et science de la couleur: Chevreul et les peintres, de Delacroix à l'abstraction), j'insisterai sur l'importance de cette loi pour les artistes. Je montrerai également comment la loi du contraste simultané des couleurs constitue une véritable grammaire des couleurs, qui permet, comme telle, de construire par la couleur. Des exemples pris dans l'?uvre de peintres qui n'ont pas été abordés dans mon livre (Vantongerloo, Lohse) viendront compléter l'exposé."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Chevreul;;;;
*C1998-ROY*;"Le remake: la reproduction du cinéma et l'analyse structurale du récit [enregistrement sonore] : Cycle de conférences du Colloque ""Ir-reproductibilités"" / Jean-Christophe Royoux. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Jean-Christophe Royoux le 3 novembre 1998 donnée dans le cadre du colloque ""Ir-reproductibilités"". (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Cinéma;;;
*C1998-SET*;"La typo est morte! vive la typo! [enregistrement sonore] : Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle / Geert Setola. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Geert Setola donnée le 4 mars 1998 dans le cadre du Cycle de conférences ""Iconotextes"" coordonné par Philippe Delangle. ""Après l'enterrement, le typographe prit la direction de l'autoroute électronique. Encore légèrement troublé, il voyait dans son rétroviseur ce monde en papier s'éloigner rapidement. Or, un sentiment encore vague d'avoir oublié quelque chose d'essentiel, ne se laissait pas chasser. A la radio, une voix française à l'accent allemand le fit sursauter. ""Les sens!"", s'écria-t-il."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;;Typographie;;;
*C1998-TOU*;"François Truffaut: critique et cinéaste [enregistrement sonore] : Cycle de conférences ""Cinémas"" coordonné par Thomas Soriano / Serge Toubiana. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Serge Toubiana le 6 mai 1998 donnée dans le cadre du Cycle de conférences ""Cinémas"" (sur la cassette: cycle ""Film et romans policiers""). ""Serge Toubiana a réalisé un long métrage sur François Truffaut, ""Portraits volés""."" (Source: Rapport d'activité 1998)";;Fichier numérisé disponible.;Truffaut;;;;
*C1999 - CIR*;"Efficacité de l'action ? Question de transmission... [enregistrement sonore] : Cycle de conférences ""Privé/Public"" coordonné par Corine Pencenat et Antonia Birnbaum / Yan Ciret. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1999. - 2 mini-disc";"Conférence de Yann Ciret dans le cadre du cycle de conférences ""Privé/Public"" cycle de conférences coordonné par Corine Pencenat et Antonia Birnbaum. ""A quels ""espèces d'espaces"" avons-nous aujourd'hui affaire. Comment se manifestent-ils à nos yeux ? Le récent Monica-Gate est un exemple frappant des rapports ambigüs qu'entretiennent aujourd'hui ces deux régimes. Ce cycle de conférences envisage d'interroger les relations entre les domaines privé-public par le biais d'un principe charnière : celui de l'action. Se placer à cet endroit, celui de l'acte et de ses effets, permet de voir émerger les points de partage entre ces deux modes de manifestations, la complexité de leurs définitions, et de relever l'inquiétude qui peut surgir de leur instabilité présente. Un chercheur, une architecte-psychanalyste, un artiste, un écrivain en liaison avec le monde du théâtre, un philosophe investigueront chacun dans leur prpre champ les lignes que l'action partage entre les domaines privé, public, commun...(Source: Rapport d'activité 1999)";;Fichier numérisé disponible.;;Corps humain;;;
*C1999 - GAR*;"Bruits de bêtes [enregistrement sonore] : Cycle de conférences ""Art et nature"" coordonné par Jacques Demarcq et Jean-Pierre Greff / Colette Garraud. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1999. - 1 cassette audio";"Conférence de Colette Garraud, historienne de l'art et professeur à l'Ecole nationale d'art de Cergy, donnée dans le cadre du Cycle de conférences ""Art et nature"". En complément à sa précédente intervention dans le cycle ""Art et nature"" consacrée essentiellement aux deux notions de site et de morphogénèse, Colette Garraud traitera cette fois de la relation homme-animal, à travers, entre autre, l'?uvre d'Erik Samakh. Où il sera question de communication animale et de communication avec l'animal, de simulacres et de simulations, de la relation entre nature et technologie, et de diverses manières de sculpter l'espace avec du son. (Source: Rapport d'activité 1998)";;;Samakh;Animal;;;
*C1999 - GEN*;"Le mauvais genre [enregistrement sonore] : Cycle de conférences ""Films et romans policiers"" coordonné par Thomas Soriano / Max Genève. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1999. - 1 cassette audio";"Conférence de Max Genève dans le cadre du cycle de conférences ""Films et romans policiers"" coordonné par Thomas Soriano. ""Littérature populaire, noire, policière, comment s'engendrent ces genres, comment se croisent-ils ? Aujourd'hui réévalué, le roman policier, en ce qu'il exemplifie les rapports entre l'art et les forces de la négativité (agressivité, mort...) serait la chanson de geste de l'époque moderne, les nouveaux chevaliers de la Table ronde, ce sont les inspecteurs Cercueil et Fossoyeur, les Carvalho, les Poulpes...Où mieux que dans le polar, la question du mal peut-elle se donner dans toute sa dimension sociale et métaphysique ? Les auteurs invités, tous écrivains, parfois scénariste ou réalisateur de films, parfois enquêteur, libraire, comédien, interrogeront le rapport de la page à l'écran, le passage du roman au scénario. Gageons dans notre délire obsidorial, qu'ils nous viennent vraiment porter réconfort de la male parole...""Th. S. (Source: Rapport d'activité 1999)";;Fichier numérisé disponible.;;Roman policier;;;
*C1999 - MAL*;Produire...créer. Assurer l'itinérance identitaire et géographique de projets transversaux [enregistrement sonore] / Laurent Malone. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1999. - 2 mini-disc;"Conférence de Laurent Malone donnée le le 27 octobre 1999. ""Laurent Malone crée avec Francine Zubell, l'Observatoire (1990) : un laboratoire d'idées et d'images où sont utilisés les supports de l'édition et des installations dans l'espace public. Leurs activités anticipent celles de collectifs artisitiques pluridisciplinaires comme Local Access, Public...En 1999, une extensions de ce laboratoire est mise en place sous forme d'un réseau intitulé L.M.X. Laurent Malone présentera ses différentes productions dont les oeuvres de Jean-Marie Krauth, d'Andrea Blum, et le projet J.F.K. avec Dennis Adams. Cette conférence se poursuivra dans l'année par un workshop autour de la bibliothèque mobile d'Andrea Blum.(Source: Rapport d'activité 1999)";;Fichier numérisé disponible.;Malone;;;;
*C1999 - NAN*;"La ville au loin [enregistrement sonore] : Cycle de conférences ""Espaces décrits/espaces d'écrits"" coordonné par Elisabeth Milon et Jean-Pierre Greff / Jean-Luc Nancy. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1998. - 1 cassette audio";"Conférence de Jean-Luc Nancy dans le cadre du Cycle de conférences ""Espaces décrits/espaces d'écrits"" coordonné par Elisabeth Milon et Jean-Pierre Greff. ""Décrire un espace c'est toujours l'écrire. Ecrire, c'est toujours habiter un espace particulier. De l'espace préexiste et de l'espace se forme. Interroger cette relation qui, énoncée ainsi, tournerait rapidement à une tautologie un peu maniériste, nous amène plus précisément à envisager des types d'écritures de différentes natures (sociologiques, photographiques, éditoriales, scénographiques, poétiques, philosophiques) à l'épreuve de leur espace intrinsèque, c'est-à-dire leurs outils et leur grammaire, et aux prises avec une réalité extrinsèque qui leurest pré-texte, leur objet, leur origine, leur ancrage. c'est donc poser la question des passages, des écarts, de l'interprétation, de la traduction, de l'adaptation. Deux directions ont prévalu à ce cycle de conférences : s'intéresser d'une part à des écritures décrivant l'espace urbain et architectural, d'autre part à des écritures mettant en jeu l'espace que ce soit celui de la page ou de la scène. (Source: Rapport d'activité 1999)";;Fichier numérisé disponible.;;Villes;;;
*C1999 - NEV*;"Le nombre d'or, un nombre ? un fétiche ? [enregistrement sonore] : Cycle de conférences ""Nombres, fétiches"" coordonné par Jean-Pierre Greff / Marguerite Neveux. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1999. - 2 mini-disc";"Conférence de Marguerite Neveux dans le cadre du cycle de conférences ""Nombres, fétiches"" en clin d'oeil au passage à l'an 2000. ""[...]raison suffisante pour nous inviter à réinterroger l'imaginaire des nombres, leurs usages sociaux, les spéculations philosophiques, esthétiques ou volontiers ésotériques qu'ils favorisent. [...] Si les nombres , depuis les époques historiques les plus reculées excèdent ainsi leur fonction de numération pour se faire le support électif d'élaborations symboliques, s'ils sont porteurs de significations et expriment des forces ou des puissances (fétiches donc), si les nombres enfin, par delà les strictes expressions arithmétiques nous apparaissent comme des principes, des idées, des qualités plus que des quantités, c'est qu'ils procèdent d'une logique de relativité : les nombres sont essentiellement des n?uds ou des réseaux de relations.[...] Des nombres, ce cycle de conférences fera l'éloge critique"". (Source: Rapport d'activité 1999)";;Fichier numérisé disponible.;;Symbolisme des nombres;;;
